time,lat,lon,alt,speed
2026-05-12 16:41:35.400,10.9942439,76.9163653,421.79,0.78
2026-05-12 16:41:35.603,10.9942439,76.9163654,421.84,0.78
2026-05-12 16:41:35.805,10.9942439,76.9163656,421.91,0.78
2026-05-12 16:41:36.005,10.994244,76.9163657,421.99,0.78
2026-05-12 16:41:36.205,10.994244,76.9163657,422.03,0.78
2026-05-12 16:41:36.405,10.994244,76.9163657,422.03,0.78
2026-05-12 16:41:36.585,10.994244,76.9163657,422.06,0.78
2026-05-12 16:41:36.785,10.994244,76.9163657,422.07,0.78
2026-05-12 16:41:37.005,10.994244,76.9163658,422.12,0.78
2026-05-12 16:41:37.205,10.994244,76.9163657,422.18,0.78
2026-05-12 16:41:37.405,10.994244,76.9163655,422.17,0.78
2026-05-12 16:41:37.605,10.9942441,76.9163656,422.19,0.78
2026-05-12 16:41:37.785,10.9942441,76.9163656,422.22,0.78
2026-05-12 16:41:38.005,10.994244,76.9163657,422.27,0.78
2026-05-12 16:41:38.185,10.9942439,76.9163657,422.28,0.78
2026-05-12 16:41:38.385,10.9942438,76.9163657,422.28,0.78
2026-05-12 16:41:38.585,10.9942439,76.9163657,422.27,0.78
2026-05-12 16:41:38.785,10.994244,76.9163657,422.27,0.78
2026-05-12 16:41:38.985,10.9942441,76.9163656,422.27,0.78
2026-05-12 16:41:39.185,10.9942441,76.9163656,422.3,0.78
2026-05-12 16:41:39.405,10.9942441,76.9163655,422.3,0.78
2026-05-12 16:41:39.585,10.9942441,76.9163654,422.31,0.78
2026-05-12 16:41:39.805,10.9942441,76.9163652,422.27,0.78
2026-05-12 16:41:39.985,10.9942441,76.9163652,422.28,0.78
2026-05-12 16:41:40.205,10.9942442,76.9163653,422.33,0.78
2026-05-12 16:41:40.405,10.9942442,76.9163653,422.39,0.78
2026-05-12 16:41:40.585,10.9942443,76.9163652,422.38,0.78
2026-05-12 16:41:40.785,10.9942443,76.9163652,422.38,0.78
2026-05-12 16:41:40.985,10.9942443,76.9163652,422.45,0.78
2026-05-12 16:41:41.185,10.9942442,76.9163653,422.51,0.78
2026-05-12 16:41:41.405,10.9942442,76.9163653,422.53,0.78
2026-05-12 16:41:41.585,10.9942441,76.9163653,422.52,0.78
2026-05-12 16:41:41.785,10.9942441,76.9163653,422.51,0.78
2026-05-12 16:41:41.985,10.994244,76.9163652,422.51,0.78
2026-05-12 16:41:42.205,10.9942439,76.9163652,422.53,0.78
2026-05-12 16:41:42.385,10.9942439,76.9163651,422.54,0.78
2026-05-12 16:41:42.585,10.9942439,76.9163651,422.54,0.78
2026-05-12 16:41:42.785,10.9942439,76.9163651,422.55,0.78
2026-05-12 16:41:42.985,10.994244,76.9163649,422.54,0.78
2026-05-12 16:41:43.205,10.9942441,76.9163648,422.64,0.78
2026-05-12 16:41:43.385,10.9942442,76.9163649,422.71,0.78
2026-05-12 16:41:43.585,10.9942444,76.916365,422.85,0.78
2026-05-12 16:41:43.785,10.9942445,76.9163648,422.92,0.78
2026-05-12 16:41:43.985,10.9942445,76.9163648,422.95,0.78
2026-05-12 16:41:44.205,10.9942446,76.9163649,423.01,0.78
2026-05-12 16:41:44.405,10.9942447,76.9163648,423.02,0.78
2026-05-12 16:41:44.605,10.9942449,76.9163649,423.09,0.78
2026-05-12 16:41:44.785,10.9942449,76.9163648,423.08,0.78
2026-05-12 16:41:45.005,10.9942449,76.9163648,423.08,0.78
2026-05-12 16:41:45.205,10.994245,76.9163647,423.02,0.78
2026-05-12 16:41:45.405,10.9942451,76.9163647,422.98,0.78
2026-05-12 16:41:45.605,10.9942451,76.9163649,422.98,0.78
2026-05-12 16:41:45.805,10.9942452,76.9163651,423.0,0.78
2026-05-12 16:41:46.005,10.9942454,76.916365,422.95,0.78
2026-05-12 16:41:46.185,10.9942455,76.9163649,422.91,0.78
2026-05-12 16:41:46.405,10.9942455,76.9163648,422.84,0.78
2026-05-12 16:41:46.605,10.9942455,76.9163648,422.78,0.78
2026-05-12 16:41:46.805,10.9942455,76.9163647,422.74,0.78
2026-05-12 16:41:47.005,10.9942454,76.9163645,422.68,0.78
2026-05-12 16:41:47.205,10.9942453,76.9163644,422.62,0.78
2026-05-12 16:41:47.405,10.9942452,76.9163643,422.58,0.78
2026-05-12 16:41:47.585,10.9942452,76.9163642,422.57,0.78
2026-05-12 16:41:47.805,10.9942451,76.9163643,422.56,0.78
2026-05-12 16:41:48.005,10.9942451,76.9163642,422.56,0.78
2026-05-12 16:41:48.205,10.9942451,76.9163641,422.57,0.78
2026-05-12 16:41:48.405,10.994245,76.9163641,422.57,0.78
2026-05-12 16:41:48.605,10.994245,76.9163643,422.6,0.78
2026-05-12 16:41:48.805,10.994245,76.9163645,422.64,0.78
2026-05-12 16:41:49.005,10.994245,76.9163647,422.64,0.78
2026-05-12 16:41:49.205,10.994245,76.9163649,422.69,0.78
2026-05-12 16:41:49.405,10.994245,76.916365,422.74,0.78
2026-05-12 16:41:49.605,10.9942451,76.9163653,422.81,0.78
2026-05-12 16:41:49.805,10.9942451,76.9163655,422.87,0.78
2026-05-12 16:41:50.005,10.994245,76.9163656,422.95,0.78
2026-05-12 16:41:50.205,10.994245,76.9163656,422.93,0.78
2026-05-12 16:41:50.405,10.9942451,76.9163657,423.0,0.78
2026-05-12 16:41:50.605,10.9942452,76.9163657,423.01,0.78
2026-05-12 16:41:50.805,10.9942452,76.9163656,423.08,0.78
2026-05-12 16:41:51.005,10.9942452,76.9163656,423.13,0.78
2026-05-12 16:41:51.185,10.994245,76.9163657,423.24,0.79
2026-05-12 16:41:51.405,10.9942447,76.9163656,423.27,0.79
2026-05-12 16:41:51.585,10.9942447,76.9163655,423.3,0.78
2026-05-12 16:41:51.805,10.9942448,76.9163655,423.37,0.78
2026-05-12 16:41:52.005,10.994245,76.9163654,423.45,0.78
2026-05-12 16:41:52.205,10.9942451,76.9163651,423.53,0.78
2026-05-12 16:41:52.405,10.9942452,76.9163649,423.54,0.78
2026-05-12 16:41:52.605,10.9942452,76.9163647,423.51,0.78
2026-05-12 16:41:52.805,10.9942451,76.9163646,423.47,0.78
2026-05-12 16:41:52.985,10.9942452,76.9163647,423.46,0.78
2026-05-12 16:41:53.205,10.9942455,76.916365,423.44,0.78
2026-05-12 16:41:53.405,10.9942456,76.9163654,423.44,0.78
2026-05-12 16:41:53.605,10.9942457,76.9163656,423.38,0.78
2026-05-12 16:41:53.805,10.9942458,76.9163659,423.34,0.78
