time,lat,lon,alt,speed
2026-04-06 13:05:57.000,10.9942883,76.9163475,2413.0,0.54
2026-04-06 13:05:57.224,10.9942883,76.9163478,2413.0,0.59
2026-04-06 13:05:57.407,10.9942883,76.916348,2413.0,0.54
2026-04-06 13:05:57.606,10.9942883,76.9163481,2413.0,0.54
2026-04-06 13:05:57.806,10.9942883,76.9163483,2413.0,0.54
2026-04-06 13:05:58.006,10.9942883,76.9163483,2413.0,0.54
2026-04-06 13:05:58.206,10.9942884,76.9163485,2413.0,0.59
2026-04-06 13:05:58.406,10.9942885,76.9163487,2413.0,0.59
2026-04-06 13:05:58.607,10.9942885,76.9163486,2413.0,0.59
2026-04-06 13:05:58.806,10.9942885,76.9163485,2413.0,0.59
2026-04-06 13:05:59.006,10.9942884,76.9163488,2413.0,0.59
2026-04-06 13:05:59.226,10.9942882,76.9163489,2413.0,0.59
2026-04-06 13:05:59.406,10.9942883,76.9163489,2413.0,0.59
2026-04-06 13:05:59.606,10.9942883,76.9163489,2413.0,0.59
2026-04-06 13:05:59.806,10.9942882,76.9163491,2413.0,0.59
2026-04-06 13:06:00.006,10.9942881,76.9163494,2413.0,0.59
2026-04-06 13:06:00.206,10.994288,76.9163496,2413.0,0.59
2026-04-06 13:06:00.406,10.994288,76.9163496,2413.0,0.59
2026-04-06 13:06:00.606,10.994288,76.9163495,2413.0,0.59
2026-04-06 13:06:00.806,10.994288,76.9163496,2413.0,0.59
2026-04-06 13:06:01.006,10.9942879,76.9163497,2413.0,0.59
2026-04-06 13:06:01.227,10.9942879,76.9163498,2413.0,0.59
2026-04-06 13:06:01.406,10.9942879,76.9163499,2413.0,0.59
2026-04-06 13:06:01.606,10.9942879,76.9163499,2413.0,0.59
2026-04-06 13:06:01.806,10.9942879,76.9163502,2413.0,0.59
2026-04-06 13:06:02.006,10.9942879,76.9163503,2413.0,0.59
2026-04-06 13:06:02.206,10.9942879,76.9163503,2413.0,0.59
2026-04-06 13:06:02.406,10.994288,76.9163503,2413.0,0.59
2026-04-06 13:06:02.606,10.994288,76.9163504,2413.0,0.59
2026-04-06 13:06:02.806,10.9942879,76.9163507,2413.0,0.59
2026-04-06 13:06:03.007,10.9942879,76.9163506,2413.0,0.59
2026-04-06 13:06:03.227,10.9942878,76.9163506,2413.0,0.59
2026-04-06 13:06:03.407,10.9942879,76.9163505,2413.0,0.54
2026-04-06 13:06:03.607,10.9942878,76.9163505,2413.0,0.54
2026-04-06 13:06:03.807,10.9942879,76.9163503,2413.0,0.54
2026-04-06 13:06:04.007,10.994288,76.9163502,2413.0,0.59
2026-04-06 13:06:04.207,10.994288,76.9163502,2413.0,0.59
2026-04-06 13:06:04.407,10.994288,76.9163502,2413.0,0.59
2026-04-06 13:06:04.607,10.9942881,76.9163502,2413.0,0.59
2026-04-06 13:06:04.807,10.9942881,76.9163502,2413.0,0.59
2026-04-06 13:06:05.007,10.9942881,76.91635,2413.0,0.54
2026-04-06 13:06:05.227,10.9942882,76.9163497,2413.0,0.54
2026-04-06 13:06:05.407,10.9942883,76.9163494,2413.0,0.54
2026-04-06 13:06:05.607,10.9942883,76.9163493,2413.0,0.54
2026-04-06 13:06:05.807,10.9942884,76.9163493,2413.0,0.54
2026-04-06 13:06:06.007,10.9942884,76.9163491,2413.0,0.54
2026-04-06 13:06:06.207,10.9942884,76.9163489,2413.0,0.54
2026-04-06 13:06:06.407,10.9942885,76.9163488,2413.0,0.54
2026-04-06 13:06:06.607,10.9942885,76.9163488,2413.0,0.54
2026-04-06 13:06:06.807,10.9942886,76.9163488,2413.0,0.54
2026-04-06 13:06:07.007,10.9942886,76.9163487,2413.0,0.54
2026-04-06 13:06:07.227,10.9942887,76.9163486,2413.0,0.54
2026-04-06 13:06:07.407,10.9942887,76.9163486,2413.0,0.54
2026-04-06 13:06:07.608,10.9942886,76.9163486,2413.0,0.54
2026-04-06 13:06:07.808,10.9942885,76.9163484,2413.0,0.54
2026-04-06 13:06:08.008,10.9942884,76.9163483,2413.0,0.54
2026-04-06 13:06:08.207,10.9942884,76.9163484,2413.0,0.54
2026-04-06 13:06:08.407,10.9942884,76.9163486,2413.0,0.54
2026-04-06 13:06:08.607,10.9942884,76.9163489,2413.0,0.54
